Vg (V),Vsd (V),Isd (A)
-1.0,-0.2,-0.0002223611
-1.0,-0.1,-0.0001225
-1.0,0.0,9.028e-07
-1.0,0.1,0.0001021528
-1.0,0.2,0.0001972917
-1.0,0.3,0.0002928472
